,County,Rates_opioid,Counts_opioid,Year,Rates_pres,Counts_pres,Rates_heroin,Counts_heroin,Rates_fentanyl,Counts_fentanyl
248,Nevada,10.45,10.0,2019,7.69,7.0,3.64,3.0,0.0,0.0
249,Orange,8.13,272.0,2019,6.28,212.0,2.34,76.0,3.92,126.0
250,Placer,7.39,30.0,2019,5.04,21.0,2.17,8.0,1.8,6.0
251,Plumas,11.77,2.0,2019,11.77,2.0,8.6,1.0,3.17,1.0
252,Riverside,9.77,245.0,2019,6.88,172.0,3.17,80.0,5.42,134.0
253,Sacramento,7.39,119.0,2019,5.95,95.0,1.9,32.0,2.38,36.0
254,San Benito,7.98,5.0,2019,7.98,5.0,1.18,1.0,5.16,3.0
255,San Bernardino,6.1,133.0,2019,4.58,99.0,1.77,39.0,3.41,74.0
256,San Diego,8.92,314.0,2019,6.46,227.0,3.27,113.0,4.12,142.0
257,San Francisco,26.96,279.0,2019,23.15,240.0,6.8,70.0,19.07,196.0
258,San Joaquin,5.3,39.0,2019,4.01,30.0,1.15,8.0,1.97,14.0
259,San Luis Obispo,8.12,21.0,2019,4.09,11.0,0.74,2.0,3.08,8.0
260,San Mateo,7.87,65.0,2019,7.26,60.0,0.87,7.0,4.75,36.0
261,Santa Barbara,5.54,26.0,2019,3.79,18.0,1.08,5.0,3.11,15.0
262,Santa Clara,4.12,88.0,2019,2.62,57.0,1.98,41.0,1.23,25.0
263,Santa Cruz,10.47,29.0,2019,6.61,19.0,5.46,14.0,2.05,5.0
264,Shasta,11.11,18.0,2019,7.98,13.0,3.43,6.0,3.94,6.0
265,Sierra,0.0,0.0,2019,0.0,0.0,0.0,0.0,0.0,0.0
266,Siskiyou,5.98,2.0,2019,5.98,2.0,2.69,1.0,3.29,1.0
267,Solano,7.32,34.0,2019,6.21,28.0,1.55,8.0,4.04,18.0
268,Sonoma,13.09,65.0,2019,12.14,61.0,4.17,19.0,8.52,41.0
269,Stanislaus,8.57,46.0,2019,6.34,34.0,1.24,7.0,2.82,15.0
270,Sutter,2.5,3.0,2019,1.71,2.0,0.79,1.0,1.71,2.0
271,Tehama,1.02,1.0,2019,1.02,1.0,0.0,0.0,0.0,0.0
272,Trinity,19.65,2.0,2019,19.65,2.0,0.0,0.0,0.0,0.0
273,Tulare,2.52,12.0,2019,2.52,12.0,0.0,0.0,1.25,6.0
274,Tuolumne,1.6,2.0,2019,1.6,2.0,0.78,1.0,0.78,1.0
275,Alameda,8.09,144.0,2020,7.74,138.0,0.85,14.0,6.6,117.0
276,Alpine,0.0,0.0,2020,0.0,0.0,0.0,0.0,0.0,0.0
277,Amador,13.07,4.0,2020,13.07,4.0,3.36,1.0,6.71,2.0
278,Butte,11.54,26.0,2020,5.19,13.0,5.96,13.0,2.51,6.0
279,Calaveras,7.0,2.0,2020,7.0,2.0,0.0,0.0,3.12,1.0
280,Colusa,14.72,3.0,2020,14.72,3.0,0.0,0.0,6.09,1.0
281,Contra Costa,12.61,144.0,2020,11.45,130.0,1.28,15.0,9.77,108.0
282,Del Norte,9.01,3.0,2020,9.01,3.0,4.55,1.0,9.01,3.0
283,El Dorado,11.72,22.0,2020,11.72,22.0,0.64,1.0,5.35,10.0
284,Fresno,7.01,71.0,2020,6.14,62.0,0.37,4.0,4.13,43.0
285,Glenn,14.87,3.0,2020,10.47,2.0,4.4,1.0,4.88,1.0
286,Humboldt,18.34,24.0,2020,15.88,21.0,4.07,5.0,7.88,10.0
287,Imperial,19.07,32.0,2020,12.43,21.0,1.38,2.0,10.67,18.0
288,Inyo,22.03,3.0,2020,22.03,3.0,0.0,0.0,22.03,3.0
289,Kern,24.32,222.0,2020,21.0,193.0,5.24,47.0,15.13,139.0
290,Kings,7.36,10.0,2020,6.6,9.0,0.76,1.0,3.37,5.0
291,Lake,26.11,17.0,2020,16.18,11.0,13.06,7.0,7.17,5.0
292,Lassen,18.12,7.0,2020,13.49,5.0,10.67,4.0,7.12,2.0
293,Los Angeles,12.4,1300.0,2020,10.56,1099.0,2.7,290.0,9.38,970.0
294,Madera,4.87,7.0,2020,4.31,6.0,0.56,1.0,1.98,3.0
295,Marin,14.06,33.0,2020,12.8,29.0,2.4,6.0,10.44,22.0
296,Mariposa,3.87,1.0,2020,3.87,1.0,0.0,0.0,0.0,0.0
297,Mendocino,25.84,20.0,2020,23.45,18.0,3.92,3.0,19.02,14.0
298,Merced,9.98,29.0,2020,9.34,27.0,0.64,2.0,6.38,18.0
299,Modoc,0.0,0.0,2020,0.0,0.0,0.0,0.0,0.0,0.0
300,Mono,0.0,0.0,2020,0.0,0.0,0.0,0.0,0.0,0.0
301,Monterey,5.85,25.0,2020,5.34,23.0,0.3,1.0,5.36,23.0
302,Napa,5.2,8.0,2020,3.96,6.0,1.64,3.0,3.45,5.0
303,Nevada,34.09,30.0,2020,28.21,26.0,6.25,5.0,21.77,18.0
304,Orange,15.45,503.0,2020,14.13,459.0,2.01,65.0,12.09,385.0
305,Placer,12.22,45.0,2020,10.59,38.0,1.99,8.0,7.3,26.0
306,Plumas,6.28,1.0,2020,6.28,1.0,0.0,0.0,0.0,0.0
307,Riverside,16.05,400.0,2020,12.89,323.0,3.96,97.0,11.08,274.0
308,Sacramento,6.81,107.0,2020,5.27,82.0,1.66,27.0,3.5,54.0
309,San Benito,6.33,4.0,2020,5.19,3.0,2.89,2.0,3.27,2.0
310,San Bernardino,12.95,288.0,2020,10.97,242.0,2.49,57.0,10.29,227.0
311,San Diego,15.14,528.0,2020,13.69,477.0,2.69,94.0,11.7,406.0
312,San Francisco,44.51,443.0,2020,41.94,419.0,6.57,63.0,38.1,380.0
313,San Joaquin,11.1,85.0,2020,10.36,79.0,0.88,7.0,6.71,51.0
