,County,Year,Employment,Labor Force,Unemployment,Unemployment Rate,Opioid Death Rate,Opioid Death
245,San Luis Obispo,2020,122500.0,132683.33333333334,10200.0,7.758333333333334,16.3,45.0
246,San Mateo,2015,419325.0,434225.0,14916.666666666666,3.4499999999999997,2.1,18.0
247,San Mateo,2016,428291.6666666667,441791.6666666667,13500.0,3.0666666666666664,2.15,18.0
248,San Mateo,2017,433008.3333333333,445216.6666666667,12191.666666666666,2.7416666666666667,4.36,37.0
249,San Mateo,2018,438816.6666666667,448966.6666666667,10150.0,2.2583333333333333,4.49,36.0
250,San Mateo,2019,446783.3333333333,456316.6666666667,9541.666666666666,2.1,7.26,60.0
251,San Mateo,2020,404116.6666666667,433875.0,29741.666666666668,6.949999999999999,9.53,77.0
252,Marin,2015,133708.33333333334,138683.33333333334,4975.0,3.5749999999999997,1.5,3.0
253,Marin,2016,135041.66666666666,139641.66666666666,4600.0,3.283333333333333,4.05,9.0
254,Marin,2017,135683.33333333334,139725.0,4041.6666666666665,2.891666666666666,4.08,9.0
255,Marin,2018,136275.0,139708.33333333334,3416.6666666666665,2.4583333333333335,2.15,5.0
256,Marin,2019,135308.33333333334,138575.0,3275.0,2.358333333333334,6.41,15.0
257,Marin,2020,121475.0,130133.33333333333,8658.333333333334,6.766666666666666,12.8,29.0
258,Santa Clara,2015,969950.0,1012208.3333333334,42266.666666666664,4.191666666666667,2.31,48.0
259,Santa Clara,2016,989058.3333333334,1027916.6666666666,38875.0,3.7833333333333328,2.22,48.0
260,Santa Clara,2017,1004383.3333333334,1038016.6666666666,33650.0,3.233333333333333,2.36,49.0
261,Santa Clara,2018,1014783.3333333334,1042458.3333333334,27683.333333333332,2.658333333333333,2.12,45.0
262,Santa Clara,2019,1021583.3333333334,1048216.6666666666,26633.333333333332,2.533333333333333,2.62,57.0
263,Santa Clara,2020,949358.3333333334,1020700.0,71325.0,7.025000000000001,6.07,121.0
264,Santa Cruz,2015,132433.33333333334,143191.66666666666,10791.666666666666,7.533333333333332,5.65,16.0
265,Santa Cruz,2016,133741.66666666666,143775.0,10025.0,6.991666666666667,6.12,18.0
266,Santa Cruz,2017,134508.33333333334,142691.66666666666,8183.333333333333,5.75,3.6,11.0
267,Santa Cruz,2018,134191.66666666666,141275.0,7083.333333333333,5.025,4.24,11.0
268,Santa Cruz,2019,134083.33333333334,141100.0,7008.333333333333,4.9750000000000005,6.61,19.0
269,Santa Cruz,2020,120925.0,133658.33333333334,12708.333333333334,9.533333333333333,6.75,17.0
270,Santa Barbara,2015,205591.66666666666,217158.33333333334,11583.333333333334,5.333333333333333,4.66,21.0
271,Santa Barbara,2016,204333.33333333334,215250.0,10925.0,5.075,3.92,16.0
272,Santa Barbara,2017,205283.33333333334,215108.33333333334,9808.333333333334,4.5666666666666655,4.31,20.0
273,Santa Barbara,2018,206666.66666666666,215241.66666666666,8558.333333333334,3.966666666666667,2.78,14.0
274,Santa Barbara,2019,214108.33333333334,222275.0,8175.0,3.6750000000000003,3.79,18.0
275,Santa Barbara,2020,200166.66666666666,217516.66666666666,17341.666666666668,8.0,3.0,14.0
276,Sonoma,2015,246033.33333333334,257658.33333333334,11633.333333333334,4.508333333333334,3.72,21.0
277,Sonoma,2016,248883.33333333334,259233.33333333334,10350.0,4.0,3.58,19.0
278,Sonoma,2017,251100.0,259941.66666666666,8850.0,3.408333333333333,3.1,16.0
279,Sonoma,2018,253341.66666666666,260625.0,7283.333333333333,2.8000000000000003,6.41,31.0
280,Sonoma,2019,250025.0,257083.33333333334,7050.0,2.7583333333333333,12.14,61.0
281,Sonoma,2020,225783.33333333334,245091.66666666666,19300.0,7.916666666666667,23.42,110.0
282,Sierra,2015,1241.6666666666667,1362.5,120.83333333333333,8.799999999999999,0.0,0.0
283,Sierra,2016,1232.5,1335.0,101.66666666666667,7.633333333333333,0.0,0.0
284,Sierra,2017,1205.8333333333333,1291.6666666666667,85.83333333333333,6.566666666666666,0.0,0.0
285,Sierra,2018,1199.1666666666667,1276.6666666666667,76.66666666666667,6.108333333333333,0.0,0.0
286,Sierra,2019,1255.8333333333333,1327.5,73.33333333333333,5.4750000000000005,0.0,0.0
287,Sierra,2020,1179.1666666666667,1283.3333333333333,103.33333333333333,8.066666666666666,0.0,0.0
288,Siskiyou,2015,16200.0,17882.5,1685.8333333333333,9.433333333333335,16.32,7.0
289,Siskiyou,2016,16370.833333333334,17896.666666666668,1526.6666666666667,8.558333333333334,15.13,7.0
